Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,2026-01-02 17:10:27,2026-01-02 17:13:44,3m - 16.580s,PASSED
,,,,,,,
Test Cases/Login by Email,,,,2026-01-02 17:10:27,2026-01-02 17:10:54,26.311s,PASSED
"startExistingApplication(""id.co.labamu.app"")",,,,2026-01-02 17:10:28,2026-01-02 17:10:42,14.275s,PASSED
"widget = findTestObject(""Object Repository/btn-Widget-While"")",,,,2026-01-02 17:10:42,2026-01-02 17:10:42,0.057s,PASSED
"if (waitForElementPresent(widget, 5))",,,,2026-01-02 17:10:42,2026-01-02 17:10:47,5.152s,PASSED
else,,,,2026-01-02 17:10:47,2026-01-02 17:10:47,0.002s,PASSED
"btnEmailOption = findTestObject(""Object Repository/btn-text-Email-Option"")",,,,2026-01-02 17:10:47,2026-01-02 17:10:47,0.040s,PASSED
"inputEmail = findTestObject(""Object Repository/edt-Input-Email"")",,,,2026-01-02 17:10:47,2026-01-02 17:10:47,0.042s,PASSED
"chkAgreement = findTestObject(""Object Repository/btn-CheckBox"")",,,,2026-01-02 17:10:47,2026-01-02 17:10:47,0.044s,PASSED
"btnMasuk = findTestObject(""Object Repository/btn-Masuk"")",,,,2026-01-02 17:10:47,2026-01-02 17:10:47,0.039s,PASSED
"waitForElementPresent(btnEmailOption, 10)",,,,2026-01-02 17:10:47,2026-01-02 17:10:48,0.346s,PASSED
"tap(btnEmailOption, 10)",,,,2026-01-02 17:10:48,2026-01-02 17:10:48,0.374s,PASSED
"waitForElementPresent(inputEmail, 10)",,,,2026-01-02 17:10:48,2026-01-02 17:10:49,0.708s,PASSED
"tap(inputEmail, 10)",,,,2026-01-02 17:10:49,2026-01-02 17:10:49,0.322s,PASSED
"setText(inputEmail, email, 10)",,,,2026-01-02 17:10:49,2026-01-02 17:10:51,1.937s,PASSED
"tap(chkAgreement, 10)",,,,2026-01-02 17:10:51,2026-01-02 17:10:52,0.805s,PASSED
"waitForElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:10:52,2026-01-02 17:10:53,0.834s,PASSED
